CHILD_AUTHORITY;PARENT_AUTHORITY;IS_GROUP_AUTHORITY
RD0000080001;RD0000080000;true
RD0000080002;RD0000080001;true
RD0000080003;RD0000080002;true
RD0000080004;RD0000080003;true
RD0000080005;RD0000080001;true
RD0000080006;RD0000080005;true
RD0000080008;RD0000080007;true
RD0000080009;RD0000080008;true
RD0000080010;RD0000080009;true
RD0000080011;RD0000080000;true
RD0000080012;RD0000080011;true
RD0000080013;RD0000080012;true
RD0000080014;RD0000080013;true
RD0000080016;RD0000080015;true
RD0000080017;RD0000080016;true
RD0000080018;RD0000080017;true
RD0000080019;RD0000080018;true
R00563357;RD0000080004;true
R00565642;RD0000080006;true
R00520215;RD0000080010;true
R00516218;RD0000080014;true
R00058489;RD0000080019;true
R00563357;LH02P01DISF01;true
R00563357;LH02P01DISF02;true
R00563357;LH02P01DISF03;true
R00563357;LH02P01DISF06;true
R00563357;LH02P01DISR01;true
R00563357;LH02P01DISR02;true
R00563357;LH02P01DISR03;true
R00563357;LH02P01DISR04;true
R00563357;LH02P01DISR05;true
R00563357;LH02P01DISR06;true
R00563357;LH02P01DISR07;true
R00563357;LH02P01DISR08;true
R00563357;LH02P01DISR09;true
R00563357;LH02P01DISR10;true
R00563357;LH02P01DISR11;true
R00563357;LH02P01DISR12;true
R00563357;LH02P01DISR13;true
R00563357;LH02P01DISR14;true
R00563357;LH02P01DISR15;true
R00563357;LH02P01DISR16;true
R00563357;LH02P01DISR17;true
R00563357;LH02P01DISR18;true
R00565642;LH02P01DISF03;true
R00565642;LH02P01DISR01;true
R00565642;LH02P01DISR02;true
R00565642;LH02P01DISR03;true
R00565642;LH02P01DISR04;true
R00565642;LH02P01DISR05;true
R00565642;LH02P01DISR06;true
R00565642;LH02P01DISR07;true
R00565642;LH02P01DISR08;true
R00565642;LH02P01DISR09;true
R00565642;LH02P01DISR10;true
R00565642;LH02P01DISR11;true
R00565642;LH02P01DISR12;true
R00565642;LH02P01DISR13;true
R00565642;LH02P01DISR14;true
R00565642;LH02P01DISR15;true
R00565642;LH02P01DISR16;true
R00565642;LH02P01DISR17;true
R00565642;LH02P01DISR18;true
R00520215;LH02P01DISF01;true
R00520215;LH02P01DISF02;true
R00520215;LH02P01DISF03;true
R00520215;LH02P01DISF04;true
R00520215;LH02P01DISF05;true
R00520215;LH02P01DISF06;true
R00520215;LH02P01DISF07;true
R00520215;LH02P01DISF08;true
R00520215;LH02P01DISR01;true
R00520215;LH02P01DISR02;true
R00520215;LH02P01DISR03;true
R00520215;LH02P01DISR04;true
R00520215;LH02P01DISR05;true
R00520215;LH02P01DISR06;true
R00520215;LH02P01DISR07;true
R00520215;LH02P01DISR08;true
R00520215;LH02P01DISR09;true
R00520215;LH02P01DISR10;true
R00520215;LH02P01DISR11;true
R00520215;LH02P01DISR12;true
R00520215;LH02P01DISR13;true
R00520215;LH02P01DISR14;true
R00520215;LH02P01DISR15;true
R00520215;LH02P01DISR16;true
R00520215;LH02P01DISR17;true
R00520215;LH02P01DISR18;true
R00520215;LH02P01DISR80;true
R00520215;LH02P01DISR81;true
R00520215;LH02P01DISR82;true
R00520215;LH02P01DISR83;true
R00520215;LH02P01DISR84;true
R00520215;LH02P01DISR85;true
R00520215;LH02P01DISR86;true
R00520215;LH02P01DISR87;true
R00520215;LH02P01DISR99;true
R00516218;LH02P01DISF01;true
R00516218;LH02P01DISF02;true
R00516218;LH02P01DISF03;true
R00516218;LH02P01DISF07;true
R00516218;LH02P01DISR85;true
R00516218;LH02P01DISR86;true
R00058489;LH02P01DISF03;true
R00058489;LH02P01DISR01;true
R00058489;LH02P01DISR02;true
R00058489;LH02P01DISR03;true
R00058489;LH02P01DISR04;true
R00058489;LH02P01DISR05;true
R00058489;LH02P01DISR06;true
R00058489;LH02P01DISR07;true
R00058489;LH02P01DISR08;true
R00058489;LH02P01DISR09;true
R00058489;LH02P01DISR10;true
R00058489;LH02P01DISR11;true
R00058489;LH02P01DISR12;true
R00058489;LH02P01DISR13;true
R00058489;LH02P01DISR14;true
R00058489;LH02P01DISR15;true
R00058489;LH02P01DISR16;true
R00058489;LH02P01DISR17;true
R00058489;LH02P01DISR18;true
u000001;R00563357;false
u000002;R00565642;false
u000003;R00520215;false
u000004;R00516218;false
u000005;R00058489;false
u008187;R00520215;false
u0085v0;R00520215;false